Title,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018
Expenditure
Vote 1 - Office of the City Manager,960134,1035523,1235714,1456880,1516421,1429693,1575795,1678914,1812227
1.1 - City Manager's Office,55410,46847,171840,151203,105083,103346,114565,129629,146043
1.2 - Corporate GIS,13014,12521,15537,16481,15636,20545,27601,29927,30965
1.3 - Audit,27198,27171,30211,31043,36563,50440,55220,58146,63031
1.4 - Information Technology,235197,268202,282528,295467,297123,330696,330442,339342,366815
1.5 - Corporate Policy,12415,14538,18011,19100,22709,25564,20918,22280,23741
1.6 - Ombudsperson & Investigations,11895,11868,12421,12906,16288,21613,23009,24700,26321
1.7 - Legal Services,47549,52441,59923,60853,73289,72449,82519,89808,95513
1.8 - Performance Management,3157,3305,5289,6740,7076,12222,14704,15631,16603
1.9 - Metropolitan Police,554299,598630,639954,863087,938034,782032,893180,954927,1027718
1.10 - Risk Management,,,,,4620,10786,11937,12744,13484
1.11 - Programme Management,,,,,,,1700,1780,1993
Vote 2 - Finance,1496987,1319163,1638999,1583366,1367455,2452608,2648441,2780643,2943063
2.1 - Deputy City Manager,5938,5580,4577,4894,13226,13163,14198,10552,10995
2.2 - Expenditure,90436,95446,90071,101080,106019,126377,133990,142606,150498
2.3 - Income,311356,327208,365936,58591,264686,416720,426328,448431,471811
2.4 Finance and Major Projects,78694,91663,105121,80840,120004,121320,130266,129220,130161
2.5 - Internal Control & Business Systems,40084,44444,46003,50892,58552,69904,74201,78990,84780
2.6 - Real Estate,79973,79899,74846,68288,62352,83230,84412,90000,96172
2.7 - City Fleet,212823,225681,234368,241815,255405,300574,310496,329624,354555
2.8 - Durban Energy Office,4160,3895,5357,8227,12041,16819,17378,17768,17059
2.9 - INK,,6724,4907,5414,5062,6581,6766,5219,5235
2.10 - Durban Transport,164455,179128,210469,239762,234961,268541,271430,284470,301730
2.11 - Assessment Rates,,9956,14005,171065,18216,101769,103253,103253,103253
2.12 - Miscellaneous,490337,227929,439283,507102,166214,856453,999398,1059004,1129553
2.13 - Supply Chain Management,18731,21610,44056,45396,50717,71157,76325,81506,87261
Vote 3 - Governance,276073,310299,345064,402787,495954,557037,552452,586486,620176
3.1 - Deputy City Manager,3495,4006,4460,4751,4703,5624,5719,6139,6585
3.2 - City Hall Administration & City Secretariat,156140,164809,185866,217581,268337,295690,280041,298900,316070
3.3 - Communications,29792,31714,30849,34170,60421,61325,44921,47435,50105
3.4 - Sizakala Customer Service,52421,59427,68431,73857,84161,87104,92891,96991,102347
3.5 - Community Participation & Action Support,25318,38679,43138,59235,66653,90850,112741,119836,126774
3.6 - SDB,,4293,4161,3613,3861,6877,6261,6633,7067
3.7 - International & Governance Relations,8907,7371,8159,9580,7818,9567,9878,10552,11228
Vote 4 - Corporate and Human Resources,231323,244907,260354,284584,319812,411433,433038,459519,491461
4.1 - Deputy City Manager,3438,5447,5428,7223,8659,16683,15627,16596,17630
4.2 - Human Resources,112383,122180,133093,144503,154885,191010,198769,208660,224034
4.3 - Skills Development,73224,69860,72223,80163,100442,131175,143248,154117,162920
4.4 -Occupational Health and Safety,28193,31596,32376,33212,33690,47053,47996,51080,54641
4.5 - Management Services and Org. Development,14085,15824,17234,19483,22136,25512,27398,29066,32236
Vote 5 - Economic Development & Planning,628602,657658,682340,631227,865744,946271,1011447,1050954,1095401
5.1 - Deputy City Manager,2237,2391,637,1452,7477,12647,11161,11932,12755
5.2 - Economic Development & Facilitation,34165,51410,53525,73012,88009,117975,126474,135973,150730
5.3 - City Enterprises,95409,87349,87792,52197,58529,154135,103081,108852,114857
5.4 - Business Support,41099,46107,52352,58320,142081,73089,81034,85852,90765
5.5 - Retail Markets,18614,21265,27153,26033,27080,30448,33278,36122,39204
5.6 - Development Planning & Management,146025,164212,178766,188288,197546,247790,278455,287223,291638
5.7 - Area Based Management,38038,10098,7960,8317,8810,13153,15910,16500,17342
5.8 - Strategic Projects,253015,274826,274155,223608,336212,297034,362054,368500,378110
Vote 6 - Community and Emergency Services,1548316,1715740,1854917,2072827,2288801,2547648,2686676,2881659,3074903
6.1 - Deputy City Manager,5353,11800,15757,20512,33852,47951,63020,67091,60810
6.2 - Emergency Services,199270,217896,235828,254636,279481,305411,327992,353869,382003
6.3 - Disaster Management and Emergency Control,4802,6591,56380,71342,74014,93137,98622,106543,111698
6.4 - Emergency Control Centre,26143,36327,,,,,,,
6.5 - Security Management,33007,46416,51925,55629,68402,76064,79423,90412,94341
6.6 - Safer Cities,1492,10521,17639,18068,15287,24386,21649,21925,23321
6.7 - Health,335715,355418,372269,400381,453013,395796,431789,455354,486200
"6.8 - Parks, Recreation, Cemetries and Culture",942534,1030771,1105119,1252259,1364752,1604903,1664181,1786465,1916530
Vote 7 - Human Settlements and Infrastructure,4175668,3092834,3795639,4227575,5049128,4456211,4845109,5111579,5470329
7.1 - Deputy City Manager,12344,10081,11994,6963,5852,13545,14214,13543,14227
7.2 - Housing,1212191,325643,311428,686361,1188661,525730,570292,629780,703758
